id,SCOREMARGIN,Unnamed: 0,action_type,defender_distance,defender_id,defender_name,defender_x_loc,defender_y_loc,event_type,game_date,game_event_id,game_id,grid_type,homeTeam,htm,loc_x,loc_y,minutes_remaining,period,player_id,player_name,season_type,seconds_remaining,shot_attempted_flag,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,time,vtm
64,32,79,Running Reverse Layup Shot,0.039850953564498345,201188.0,Marc Gasol,74.28416,24.80764,Made Shot,20151102,326,21500051,Shot Chart Detail,1.0,GSW,74,24,6,3,201939,Stephen Curry,Regular,43,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500051:3:6:43,MEM
65,35,80,Running Reverse Layup Shot,2.4209716662736906,201584.0,Courtney Lee,25.44683,10.90009,Made Shot,20151102,331,21500051,Shot Chart Detail,1.0,GSW,27,12,6,3,201939,Stephen Curry,Regular,28,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500051:3:6:28,MEM
66,36,81,Jump Shot,2.35224000259327,2440.0,Matt Barnes,79.75231,45.75106,Made Shot,20151102,339,21500051,Shot Chart Detail,1.0,GSW,78,47,5,3,201939,Stephen Curry,Regular,32,1,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:3:5:32,MEM
67,39,82,Jump Shot,0.0,201144.0,Mike Conley,92.95009,52.14541,Made Shot,20151102,344,21500051,Shot Chart Detail,1.0,GSW,92,52,4,3,201939,Stephen Curry,Regular,58,1,22,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612744,Golden State Warriors,0021500051:3:4:58,MEM
68,42,83,Floating Jump shot,7.393584238845186,201144.0,Mike Conley,73.58326,20.26409,Made Shot,20151102,380,21500051,Shot Chart Detail,1.0,GSW,67,24,2,3,201939,Stephen Curry,Regular,33,1,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612744,Golden State Warriors,0021500051:3:2:33,MEM
69,1,84,Jump Shot,15.455798735507006,202362.0,Lance Stephenson,63.82639,45.13413,Made Shot,20151104,5,21500069,Shot Chart Detail,1.0,GSW,64,29,11,1,201939,Stephen Curry,Regular,17,1,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500069:1:11:17,LAC
70,13,85,Jump Shot,35.51780757028789,203085.0,Austin Rivers,19.21435,22.495,Made Shot,20151104,164,21500069,Shot Chart Detail,1.0,GSW,52,35,9,2,201939,Stephen Curry,Regular,42,1,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500069:2:9:42,LAC
71,17,86,Jump Shot,9.947933868155738,200755.0,JJ Redick,27.61237,14.83437,Made Shot,20151104,195,21500069,Shot Chart Detail,1.0,GSW,29,5,7,2,201939,Stephen Curry,Regular,56,1,29,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500069:2:7:56,LAC
72,15,87,Jump Shot,8.700296229083238,101108.0,Chris Paul,11.37108,32.00287,Missed Shot,20151104,206,21500069,Shot Chart Detail,1.0,GSW,17,25,6,2,201939,Stephen Curry,Regular,57,1,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500069:2:6:57,LAC
73,13,88,Pullup Jump shot,17.36093122087926,201933.0,Blake Griffin,17.13733,32.12759,Missed Shot,20151104,219,21500069,Shot Chart Detail,1.0,GSW,16,49,5,2,201939,Stephen Curry,Regular,57,1,23,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612744,Golden State Warriors,0021500069:2:5:57,LAC
74,7,89,Step Back Jump shot,6.199927604254746,201933.0,Blake Griffin,38.46776,17.17802,Made Shot,20151104,248,21500069,Shot Chart Detail,1.0,GSW,43,13,2,2,201939,Stephen Curry,Regular,8,1,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500069:2:2:08,LAC
